Vessel,Location,Lat,Lon,Date,Start,End,Tank,Operation,Volume_m3,Weight_t,Officer,MasterVerified,Remarks
LCT BUSHRA,Sea,,,2025-12-30,17:54,18:01,FODB1.C,Discharge,0.0,-11.0,,N,
LCT BUSHRA,Sea,,,2025-12-30,18:01,18:12,FW1.P,Discharge,0.0,-18.0,,N,
LCT BUSHRA,Sea,,,2025-12-30,18:12,18:23,FW1.S,Discharge,0.0,-18.0,,N,
LCT BUSHRA,Sea,,,2025-12-30,18:23,18:29,FW2.P,Discharge,0.0,-10.0,,N,
LCT BUSHRA,Sea,,,2025-12-30,18:29,18:35,FW2.S,Discharge,0.0,-10.0,,N,
LCT BUSHRA,Sea,,,2025-12-30,18:35,18:50,FWB1.S,Discharge,0.0,-26.4,,N,
LCT BUSHRA,Sea,,,2025-12-30,18:50,19:03,FWB2.P,Discharge,0.0,-21.4,,N,
LCT BUSHRA,Sea,,,2025-12-30,19:03,19:15,FWB2.S,Discharge,0.0,-21.4,,N,
LCT BUSHRA,Sea,,,2025-12-30,19:15,19:19,FWB1.P,Discharge,0.0,-5.9,,N,
LCT BUSHRA,Sea,,,2025-12-30,19:19,19:33,FWB1.S,Discharge,0.0,-24.2,,N,
LCT BUSHRA,Sea,,,2025-12-30,19:33,19:54,FWB1.P,Discharge,0.0,-34.7,,N,
LCT BUSHRA,Sea,,,2025-12-30,19:54,20:06,FW1.S,Fill,18.3,18.8,,N,
LCT BUSHRA,Sea,,,2025-12-30,20:06,20:14,FW2.P,Fill,13.6,13.9,,N,
LCT BUSHRA,Sea,,,2025-12-30,20:14,20:23,FW2.S,Fill,13.6,13.9,,N,
LCT BUSHRA,Sea,,,2025-12-30,20:23,20:29,FWB1.P,Discharge,0.0,-10.0,,N,
LCT BUSHRA,Sea,,,2025-12-30,20:29,20:42,FODB1.C,Fill,21.4,21.9,,N,
LCT BUSHRA,Sea,,,2025-12-30,20:42,20:50,FODB1.P,Fill,13.5,13.8,,N,
LCT BUSHRA,Sea,,,2025-12-30,20:50,20:59,FODB1.S,Fill,13.5,13.8,,N,
LCT BUSHRA,Sea,,,2025-12-30,20:59,21:12,FW1.P,Fill,22.6,23.2,,N,
LCT BUSHRA,Sea,,,2025-12-30,21:12,21:15,FW1.S,Fill,4.3,4.4,,N,
LCT BUSHRA,Sea,,,2025-12-30,21:15,21:16,VOIDDB4.P,Fill,2.2,2.3,,N,
LCT BUSHRA,Sea,,,2025-12-30,21:16,21:19,VOIDDB4.S,Fill,5.0,5.1,,N,
